# Datum / Zeit: (Anfang) 03.06.2014 12:25:16 (Ende)  03.06.2014 12:35:42
#
# Einstellungen: 
# Start:      AUX1 -0.050000 V 
# End1:       AUX1 0.600000 V 
# Step1:      AUX1 0.002000 V 
# Holdtime:   AUX1 1001.000000 ms (Wartezeit nach dem Einstellen; automatisch erhöhen)
#
# aktuell:    AUX2 0.000000 V 
# Start:      AUX2 0.000000 V 
# End1:       AUX2 0.000000 V 
# Step1:      AUX2 0.000000 V 
# Holdtime:   AUX2 5001.000000 ms (Abstand der Datenpunkte)
#
#
#
#
#
#
#
#
#
# AUX3: 0.000000 V
# AUX4: 0.000000 V
#
# B-Feld nicht abwarten; B-Feld nicht abschalten
#
# time constant: 0.100000 s
# sensitivity: 1V/µA
# dyn reserve: high reserve
# slope: 18 dB/oct
# sync filter: off
# line filter: off
#
# Input:  I (1E+6)
# ground: ground
# couple: AC
#
# Lock-In - automeasure: off
# ref. phase.:   0.00
# ref. source: intern
# osc. harm#: 1.000000
# osc. freq.: 433.000000
# osc. ampl.: 0.004000
# ref. trigger: sine
#
# Channel 1
# display: X
# ratio: none
# output: X
#
# Channel 2
# display: Y
# ratio: none
# output: Y
#
# off. & exp.
# X:  offset = 0.000000;  expand = none
# Y:  offset = 0.000000;  expand = none
# R:  offset = 0.000000;  expand = none
#
# Spannungsteilerfaktor Aux1:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux2:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux3:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux4:        Kein Teiler verwendet
#
# Spannungsteilerfaktor Osc. Ampl.:  100.000000
# Spannungsteilerfaktor Messeingang: 10.000000
#
# Korrektur von Aux1 (Aux1' = Aux1 + X*Aux2*(Teiler Aux1/Teiler Aux2) mit  X = 0; keine Korrektur
# Korrektur von Aux2 (Aux2' = Aux2 + X*Aux1*(Teiler Aux2/Teiler Aux1) mit  X = 0; keine Korrektur
#
#
#
#
#
#
#
# Bemerkungen: keine Bemerkungen
#
#
#
#
#
#
#
#
#
#               Aux1,                Aux2,               Re(I),               Im(I),               Aux1',               Aux2',              Re(I)',              Im(I)'
#                 U1,                  U2,               Re(I),               Im(I),           U1/Teiler,           U2/Teiler,      Re(I)/osc.Ampl,      Im(I)/osc.Ampl
          1.92000E-1,          0.00000E+0,         4.18085E-10,        -7.95811E-13,          1.92000E-1,          0.00000E+0,          1.04521E-4,         -1.98953E-7
          1.94000E-1,          0.00000E+0,         4.17971E-10,        -1.25056E-12,          1.94000E-1,          0.00000E+0,          1.04493E-4,         -3.12640E-7
          1.96000E-1,          0.00000E+0,         4.19051E-10,        -9.94767E-13,          1.96000E-1,          0.00000E+0,          1.04763E-4,         -2.48692E-7
          1.98000E-1,          0.00000E+0,         4.18938E-10,        -9.37923E-13,          1.98000E-1,          0.00000E+0,          1.04734E-4,         -2.34481E-7
          2.00000E-1,          0.00000E+0,         4.20217E-10,        -1.08003E-12,          2.00000E-1,          0.00000E+0,          1.05054E-4,         -2.70008E-7
          2.02000E-1,          0.00000E+0,         4.21467E-10,        -6.82124E-13,          2.02000E-1,          0.00000E+0,          1.05367E-4,         -1.70531E-7
          2.04000E-1,          0.00000E+0,         4.21155E-10,         1.13688E-13,          2.04000E-1,          0.00000E+0,          1.05289E-4,          2.84220E-8
          2.06000E-1,          0.00000E+0,         4.23713E-10,        -1.25056E-12,          2.06000E-1,          0.00000E+0,          1.05928E-4,         -3.12640E-7
          2.08000E-1,          0.00000E+0,         4.23002E-10,        -1.70531E-13,          2.08000E-1,          0.00000E+0,          1.05751E-4,         -4.26328E-8
          2.10000E-1,          0.00000E+0,         4.25873E-10,        -1.10845E-12,          2.10000E-1,          0.00000E+0,          1.06468E-4,         -2.77112E-7
          2.12000E-1,          0.00000E+0,         4.25844E-10,        -1.10845E-12,          2.12000E-1,          0.00000E+0,          1.06461E-4,         -2.77112E-7
          2.14000E-1,          0.00000E+0,         4.23144E-10,        -2.61481E-12,          2.14000E-1,          0.00000E+0,          1.05786E-4,         -6.53702E-7
          2.16000E-1,          0.00000E+0,         4.25844E-10,        -1.53478E-12,          2.16000E-1,          0.00000E+0,          1.06461E-4,         -3.83695E-7
          2.18000E-1,          0.00000E+0,         4.30306E-10,        -7.67390E-13,          2.18000E-1,          0.00000E+0,          1.07576E-4,         -1.91847E-7
          2.20000E-1,          0.00000E+0,         4.28658E-10,        -1.05161E-12,          2.20000E-1,          0.00000E+0,          1.07165E-4,         -2.62903E-7
          2.22000E-1,          0.00000E+0,         4.31159E-10,        -8.81076E-13,          2.22000E-1,          0.00000E+0,          1.07790E-4,         -2.20269E-7
          2.24000E-1,          0.00000E+0,         4.33404E-10,        -9.09502E-13,          2.24000E-1,          0.00000E+0,          1.08351E-4,         -2.27375E-7
          2.26000E-1,          0.00000E+0,         4.35195E-10,        -1.98953E-12,          2.26000E-1,          0.00000E+0,          1.08799E-4,         -4.97382E-7
