# Datum / Zeit: (Anfang) 22.06.2017 11:37:26 (Ende)  22.06.2017 11:40:21
#
# Einstellungen: 
# Start:      AUX1 -0.320000 V 
# End1:       AUX1 0.600000 V 
# Step1:      AUX1 0.010000 V 
# Holdtime:   AUX1 1001.000000 ms (Wartezeit nach dem Einstellen; automatisch erhöhen)
#
# aktuell:    AUX2 0.000000 V 
# Start:      AUX2 0.000000 V 
# End1:       AUX2 0.000000 V 
# Step1:      AUX2 0.000000 V 
# Holdtime:   AUX2 5001.000000 ms (Abstand der Datenpunkte)
#
#
#
#
#
#
#
#
#
# AUX3: 0.000000 V
# AUX4: 0.000000 V
#
# B-Feld nicht abwarten; B-Feld nicht abschalten
#
# time constant: 0.100000 s
# sensitivity: 1V/µA
# dyn reserve: high reserve
# slope: 18 dB/oct
# sync filter: off
# line filter: off
#
# Input:  I (1E+6)
# ground: ground
# couple: AC
#
# Lock-In - automeasure: off
# ref. phase.:   0.00
# ref. source: intern
# osc. harm#: 1.000000
# osc. freq.: 433.000000
# osc. ampl.: 0.004000
# ref. trigger: sine
#
# Channel 1
# display: X
# ratio: none
# output: X
#
# Channel 2
# display: Y
# ratio: none
# output: Y
#
# off. & exp.
# X:  offset = 0.000000;  expand = none
# Y:  offset = 0.000000;  expand = none
# R:  offset = 0.000000;  expand = none
#
# Spannungsteilerfaktor Aux1:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux2:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux3:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux4:        Kein Teiler verwendet
#
# Spannungsteilerfaktor Osc. Ampl.:  100.000000
# Spannungsteilerfaktor Messeingang: 10.000000
#
# Korrektur von Aux1 (Aux1' = Aux1 + X*Aux2*(Teiler Aux1/Teiler Aux2) mit  X = 0; keine Korrektur
# Korrektur von Aux2 (Aux2' = Aux2 + X*Aux1*(Teiler Aux2/Teiler Aux1) mit  X = 0; keine Korrektur
#
#
#
#
#
#
#
# Bemerkungen: keine Bemerkungen
#
#
#
#
#
#
#
#
#
#               Aux1,                Aux2,               Re(I),               Im(I),               Aux1',               Aux2',              Re(I)',              Im(I)'
#                 U1,                  U2,               Re(I),               Im(I),           U1/Teiler,           U2/Teiler,      Re(I)/osc.Ampl,      Im(I)/osc.Ampl
          4.60000E-1,          0.00000E+0,          4.25760E-9,        -1.38698E-11,          4.60000E-1,          0.00000E+0,          1.06440E-3,         -3.46745E-6
          4.70000E-1,          0.00000E+0,          4.26647E-9,        -1.59163E-11,          4.70000E-1,          0.00000E+0,          1.06662E-3,         -3.97908E-6
          4.80000E-1,          0.00000E+0,          4.27443E-9,        -1.45520E-11,          4.80000E-1,          0.00000E+0,          1.06861E-3,         -3.63800E-6
          4.90000E-1,          0.00000E+0,          4.28034E-9,        -1.45520E-11,          4.90000E-1,          0.00000E+0,          1.07008E-3,         -3.63800E-6
          5.00000E-1,          0.00000E+0,          4.28830E-9,        -1.45520E-11,          5.00000E-1,          0.00000E+0,          1.07208E-3,         -3.63800E-6
          5.10000E-1,          0.00000E+0,          4.29421E-9,        -1.56889E-11,          5.10000E-1,          0.00000E+0,          1.07355E-3,         -3.92223E-6
          5.20000E-1,          0.00000E+0,          4.30126E-9,        -1.59163E-11,          5.20000E-1,          0.00000E+0,          1.07532E-3,         -3.97908E-6
          5.30000E-1,          0.00000E+0,          4.30603E-9,        -1.47794E-11,          5.30000E-1,          0.00000E+0,          1.07651E-3,         -3.69485E-6
          5.40000E-1,          0.00000E+0,          4.31194E-9,        -1.45520E-11,          5.40000E-1,          0.00000E+0,          1.07799E-3,         -3.63800E-6
          5.50000E-1,          0.00000E+0,          4.31831E-9,        -1.50068E-11,          5.50000E-1,          0.00000E+0,          1.07958E-3,         -3.75170E-6
          5.60000E-1,          0.00000E+0,          4.32308E-9,        -1.47794E-11,          5.60000E-1,          0.00000E+0,          1.08077E-3,         -3.69485E-6
          5.70000E-1,          0.00000E+0,          4.32809E-9,        -1.52341E-11,          5.70000E-1,          0.00000E+0,          1.08202E-3,         -3.80852E-6
          5.80000E-1,          0.00000E+0,          4.33286E-9,        -1.38698E-11,          5.80000E-1,          0.00000E+0,          1.08321E-3,         -3.46745E-6
          5.90000E-1,          0.00000E+0,          4.33650E-9,        -1.56889E-11,          5.90000E-1,          0.00000E+0,          1.08413E-3,         -3.92223E-6
          6.00000E-1,          0.00000E+0,          4.34082E-9,        -1.61436E-11,          6.00000E-1,          0.00000E+0,          1.08521E-3,         -4.03590E-6
