# Datum / Zeit: (Anfang) 22.06.2017 11:43:59 (Ende)  22.06.2017 11:48:56
#
# Einstellungen: 
# Start:      AUX1 -0.190000 V 
# End1:       AUX1 0.600000 V 
# Step1:      AUX1 0.005000 V 
# Holdtime:   AUX1 1001.000000 ms (Wartezeit nach dem Einstellen; automatisch erhöhen)
#
# aktuell:    AUX2 0.000000 V 
# Start:      AUX2 0.000000 V 
# End1:       AUX2 0.000000 V 
# Step1:      AUX2 0.000000 V 
# Holdtime:   AUX2 5001.000000 ms (Abstand der Datenpunkte)
#
#
#
#
#
#
#
#
#
# AUX3: 0.000000 V
# AUX4: 0.000000 V
#
# B-Feld nicht abwarten; B-Feld nicht abschalten
#
# time constant: 0.100000 s
# sensitivity: 1V/µA
# dyn reserve: high reserve
# slope: 18 dB/oct
# sync filter: off
# line filter: off
#
# Input:  I (1E+6)
# ground: ground
# couple: AC
#
# Lock-In - automeasure: off
# ref. phase.:   0.00
# ref. source: intern
# osc. harm#: 1.000000
# osc. freq.: 433.000000
# osc. ampl.: 0.004000
# ref. trigger: sine
#
# Channel 1
# display: X
# ratio: none
# output: X
#
# Channel 2
# display: Y
# ratio: none
# output: Y
#
# off. & exp.
# X:  offset = 0.000000;  expand = none
# Y:  offset = 0.000000;  expand = none
# R:  offset = 0.000000;  expand = none
#
# Spannungsteilerfaktor Aux1:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux2:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux3:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux4:        Kein Teiler verwendet
#
# Spannungsteilerfaktor Osc. Ampl.:  100.000000
# Spannungsteilerfaktor Messeingang: 10.000000
#
# Korrektur von Aux1 (Aux1' = Aux1 + X*Aux2*(Teiler Aux1/Teiler Aux2) mit  X = 0; keine Korrektur
# Korrektur von Aux2 (Aux2' = Aux2 + X*Aux1*(Teiler Aux2/Teiler Aux1) mit  X = 0; keine Korrektur
#
#
#
#
#
#
#
# Bemerkungen: keine Bemerkungen
#
#
#
#
#
#
#
#
#
#               Aux1,                Aux2,               Re(I),               Im(I),               Aux1',               Aux2',              Re(I)',              Im(I)'
#                 U1,                  U2,               Re(I),               Im(I),           U1/Teiler,           U2/Teiler,      Re(I)/osc.Ampl,      Im(I)/osc.Ampl
          1.50000E-2,          0.00000E+0,         3.95660E-10,        -5.40016E-13,          1.50000E-2,          0.00000E+0,          9.89150E-5,         -1.35004E-7
          2.00000E-2,          0.00000E+0,         4.06262E-10,         3.41062E-13,          2.00000E-2,          0.00000E+0,          1.01566E-4,          8.52655E-8
          2.50000E-2,          0.00000E+0,         4.17403E-10,        -6.25281E-13,          2.50000E-2,          0.00000E+0,          1.04351E-4,         -1.56320E-7
          3.00000E-2,          0.00000E+0,         4.27777E-10,        -6.25281E-13,          3.00000E-2,          0.00000E+0,          1.06944E-4,         -1.56320E-7
          3.50000E-2,          0.00000E+0,         4.39060E-10,          0.00000E+0,          3.50000E-2,          0.00000E+0,          1.09765E-4,          0.00000E+0
          4.00000E-2,          0.00000E+0,         4.48866E-10,        -7.67390E-13,          4.00000E-2,          0.00000E+0,          1.12216E-4,         -1.91847E-7
          4.50000E-2,          0.00000E+0,         4.57961E-10,         1.98953E-13,          4.50000E-2,          0.00000E+0,          1.14490E-4,          4.97382E-8
          5.00000E-2,          0.00000E+0,         4.68734E-10,        -1.19372E-12,          5.00000E-2,          0.00000E+0,          1.17184E-4,         -2.98430E-7
          5.50000E-2,          0.00000E+0,         4.76721E-10,        -1.05161E-12,          5.50000E-2,          0.00000E+0,          1.19180E-4,         -2.62903E-7
          6.00000E-2,          0.00000E+0,         4.84594E-10,        -5.11594E-13,          6.00000E-2,          0.00000E+0,          1.21148E-4,         -1.27899E-7
          6.50000E-2,          0.00000E+0,         4.92012E-10,        -7.67390E-13,          6.50000E-2,          0.00000E+0,          1.23003E-4,         -1.91847E-7
          7.00000E-2,          0.00000E+0,         4.99629E-10,        -1.05161E-12,          7.00000E-2,          0.00000E+0,          1.24907E-4,         -2.62903E-7
          7.50000E-2,          0.00000E+0,         5.05626E-10,        -8.52656E-14,          7.50000E-2,          0.00000E+0,          1.26407E-4,         -2.13164E-8
          8.00000E-2,          0.00000E+0,         5.12447E-10,        -5.40016E-13,          8.00000E-2,          0.00000E+0,          1.28112E-4,         -1.35004E-7
          8.50000E-2,          0.00000E+0,         5.18330E-10,        -1.53478E-12,          8.50000E-2,          0.00000E+0,          1.29583E-4,         -3.83695E-7
